t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
3.700000,0.872530,1.000000,0.455943,0.000000,0.000005,0.230067,0.697647,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.800000,0.792569,1.000000,0.455943,0.000000,0.000005,0.238276,0.701558,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.900000,0.710122,1.000000,0.455943,0.000000,0.000005,0.246527,0.705468,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.000000,0.625326,1.000000,0.455943,0.000000,0.000005,0.254817,0.709374,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.100000,0.538324,1.000000,0.455943,0.000000,0.000005,0.263140,0.713274,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.200000,0.449267,1.000000,0.455943,0.000000,0.000005,0.271493,0.717167,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.300000,0.358310,1.000000,0.455943,0.000000,0.000005,0.279871,0.721051,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.400000,0.265620,1.000000,0.455943,0.000000,0.000005,0.288269,0.724923,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.500000,0.171367,1.000000,0.455943,0.000000,0.000005,0.296682,0.728781,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.600000,0.075728,1.000000,0.455943,0.000000,0.000005,0.305105,0.732623,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.700000,-0.021112,1.000000,0.455943,0.000000,0.000005,0.313533,0.736448,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.800000,-0.118963,1.000000,0.455943,0.000000,0.000005,0.321959,0.740252,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
4.900000,-0.217630,1.000000,0.455943,0.000000,0.000005,0.330379,0.744034,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
5.000000,-0.316911,1.000000,0.455943,0.000000,0.000005,0.338787,0.747791,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
