t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
5,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,384.591310,0.500000,stable,0.255773,0,0,0,1.618034
5.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.109499,0.500000,stable,0.158080,0,0,0,1.618034
5.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,375.532036,0.500000,stable,0.000005,0,0,0,1.618034
5.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,370.899749,0.500000,stable,0.158071,0,0,0,1.618034
5.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,375.809180,0.500000,stable,0.255770,0,0,0,1.618034
5.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,382.438472,0.500000,stable,0.255773,0,0,0,1.618034
5.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,381.059752,0.500000,stable,0.158080,0,0,0,1.618034
5.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,373.637801,0.500000,stable,0.000005,0,0,0,1.618034
5.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,370.907773,0.500000,stable,0.158071,0,0,0,1.618034
5.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,377.416462,0.500000,stable,0.255770,0,0,0,1.618034
6,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,385.257522,0.500000,stable,0.255773,0,0,0,1.618034
6.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.830958,0.500000,stable,0.158080,0,0,0,1.618034
6.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,377.626346,0.500000,stable,0.000005,0,0,0,1.618034
6.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,373.730187,0.500000,stable,0.158071,0,0,0,1.618034
6.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,377.952623,0.500000,stable,0.255770,0,0,0,1.618034
6.500000,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,383.710349,0.500000,stable,0.255773,0,0,0,1.618034
